imie,plec,rok,miesiac,liczba
Albert,M,2012,12,0
Albert,M,2012,11,0
Albert,M,2012,10,0
Albert,M,2012,9,0
Albert,M,2012,8,0
Albert,M,2012,7,0
Albert,M,2012,6,2
Albert,M,2012,5,1
Albert,M,2012,4,0
Albert,M,2012,3,0
Albert,M,2012,2,1
Albert,M,2012,1,0
Albert,M,2011,12,1
Albert,M,2011,11,0
Albert,M,2011,10,0
Albert,M,2011,9,0
Albert,M,2011,8,0
Albert,M,2011,7,1
Albert,M,2011,6,0
Albert,M,2011,5,0
Albert,M,2011,4,0
Albert,M,2011,3,1
Albert,M,2011,2,1
Albert,M,2011,1,2
Albert,M,2010,12,0
Albert,M,2010,11,0
Albert,M,2010,10,0
Albert,M,2010,9,0
Albert,M,2010,8,0
Albert,M,2010,7,1
Albert,M,2010,6,0
Albert,M,2010,5,0
Albert,M,2010,4,1
Albert,M,2010,3,0
Albert,M,2010,2,0
Albert,M,2010,1,0
Albert,M,2009,12,1
Albert,M,2009,11,0
Albert,M,2009,10,0
Albert,M,2009,9,2
Albert,M,2009,8,0
Albert,M,2009,7,0
Albert,M,2009,6,2
Albert,M,2009,5,0
Albert,M,2009,4,0
Albert,M,2009,3,0
Albert,M,2009,2,1
Albert,M,2009,1,0
Albert,M,2008,12,1
Albert,M,2008,11,0
Albert,M,2008,10,2
Albert,M,2008,9,0
Albert,M,2008,8,1
Albert,M,2008,7,0
Albert,M,2008,6,0
Albert,M,2008,5,0
Albert,M,2008,4,0
Albert,M,2008,3,0
Albert,M,2008,2,0
Albert,M,2008,1,0
Albert,M,2007,12,0
Albert,M,2007,11,0
Albert,M,2007,10,1
Albert,M,2007,9,0
Albert,M,2007,8,0
Albert,M,2007,7,0
Albert,M,2007,6,0
Albert,M,2007,5,0
Albert,M,2007,4,0
Albert,M,2007,3,0
Albert,M,2007,2,0
Albert,M,2007,1,2
Albert,M,2006,12,0
Albert,M,2006,11,3
Albert,M,2006,10,0
Albert,M,2006,9,2
Albert,M,2006,8,0
Albert,M,2006,7,0
Albert,M,2006,6,0
Albert,M,2006,5,0
Albert,M,2006,4,0
Albert,M,2006,3,0
Albert,M,2006,2,0
Albert,M,2006,1,2
Albert,M,2005,12,1
Albert,M,2005,11,0
Albert,M,2005,10,0
Albert,M,2005,9,1
Albert,M,2005,8,0
Albert,M,2005,7,0
Albert,M,2005,6,0
Albert,M,2005,5,0
Albert,M,2005,4,0
Albert,M,2005,3,1
Albert,M,2005,2,0
Albert,M,2005,1,1
Albert,M,2004,12,0
Albert,M,2004,11,0
Albert,M,2004,10,0
Albert,M,2004,9,0
Albert,M,2004,8,2
Albert,M,2004,7,0
Aleks,M,2016,5,0
Aleks,M,2016,4,0
Aleks,M,2016,3,0
Aleks,M,2016,2,0
Aleks,M,2016,1,0
Aleks,M,2015,12,0
Aleks,M,2015,11,0
Aleks,M,2015,10,1
Aleks,M,2015,9,0
Aleks,M,2015,8,0
Aleks,M,2015,7,0
Aleks,M,2015,6,2
Aleks,M,2015,5,1
Aleks,M,2015,4,0
Aleks,M,2015,3,1
Aleks,M,2015,2,1
Aleks,M,2015,1,0
Aleks,M,2014,12,1
Aleks,M,2014,11,0
Aleks,M,2014,10,0
Aleks,M,2014,9,0
Aleks,M,2014,8,1
Aleks,M,2014,7,2
Aleks,M,2014,6,0
Aleks,M,2014,5,0
Aleks,M,2014,4,0
Aleks,M,2014,3,1
Aleks,M,2014,2,1
Aleks,M,2014,1,0
Aleks,M,2013,12,3
Aleks,M,2013,11,2
Aleks,M,2013,10,1
Aleks,M,2013,9,0
Aleks,M,2013,8,0
Aleks,M,2013,7,1
Aleks,M,2013,6,0
Aleks,M,2013,5,2
Aleks,M,2013,4,2
Aleks,M,2013,3,0
Aleks,M,2013,2,3
Aleks,M,2013,1,1
Aleks,M,2012,12,1
Aleks,M,2012,11,1
Aleks,M,2012,10,1
Aleks,M,2012,9,0
Aleks,M,2012,8,0
Aleks,M,2012,7,0
Aleks,M,2012,6,1
Aleks,M,2012,5,0
Aleks,M,2012,4,1
Aleks,M,2012,3,0
Aleks,M,2012,2,0
Aleks,M,2012,1,4
Aleks,M,2011,12,1
Aleks,M,2011,11,0
Aleks,M,2011,10,1
Aleks,M,2011,9,1
Aleks,M,2011,8,1
Aleks,M,2011,7,1
Aleks,M,2011,6,0
Aleks,M,2011,5,3
Aleks,M,2011,4,0
Aleks,M,2011,3,3
Aleks,M,2011,2,0
Aleks,M,2011,1,1
Aleks,M,2010,12,3
Aleks,M,2010,11,4
Aleks,M,2010,10,1
Aleks,M,2010,9,2
Aleks,M,2010,8,0
Aleks,M,2010,7,1
Aleks,M,2010,6,1
Aleks,M,2010,5,1
Aleks,M,2010,4,2
Aleks,M,2010,3,0
Aleks,M,2010,2,3
Aleks,M,2010,1,0
Aleks,M,2009,12,3
Aleks,M,2009,11,0
Aleks,M,2009,10,2
Aleks,M,2009,9,2
Aleks,M,2009,8,0
Aleks,M,2009,7,2
Aleks,M,2009,6,2
Aleks,M,2009,5,1
Aleks,M,2009,4,0
Aleks,M,2009,3,0
Aleks,M,2009,2,0
Aleks,M,2009,1,0
Aleks,M,2008,12,1
Aleks,M,2008,11,1
Aleks,M,2008,10,0
Aleks,M,2008,9,0
Aleks,M,2008,8,1
Aleks,M,2008,7,1
Aleks,M,2008,6,0
Aleks,M,2008,5,1
Aleks,M,2008,4,0
Aleks,M,2008,3,0
Aleks,M,2008,2,2
Aleks,M,2008,1,1
Aleks,M,2007,12,0
Aleks,M,2007,11,0
Aleks,M,2007,10,1
Aleks,M,2007,9,3
Aleks,M,2007,8,0
